,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-04-27 20:16:29,2021-04-27 20:15:36,6955,304.0,1756.0,39717,5530.0,2019-12-26 15:43:01,4.1.1,11.0,179.0,22,1,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.png,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-03-20 02:37:00,2020-09-26 15:32:59,10909,587.0,535.0,39630,211.0,2018-04-02 17:18:43,1.2.2,2.0,45.0,21,2,441.0,9.0,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.png,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-01-27 23:14:12,2021-01-27 23:13:33,2295,126.0,188.0,21025,743.0,2018-11-18 11:21:02,0.13.2,3.0,38.0,19,1,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.png,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-04-19 03:16:53,2021-04-19 02:53:05,6063,89.0,1549.0,20785,685.0,2020-11-17 05:48:13,1.7.0,15.0,90.0,22,2,168435.0,4010.0,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-04-18 12:48:24,2019-03-31 22:03:47,8615,1566.0,732.0,19871,203.0,2018-03-19 23:26:21,2.1,3.0,47.0,25,1,930638.0,22158.0,132.0,132.0
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.png,others,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-04-28 09:24:59,2021-04-27 06:58:31,6907,771.0,2358.0,18311,17770.0,2020-09-21 21:03:27,6.0.0,9.0,346.0,25,1,47469.0,1054.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.png,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-04-28 13:57:15,2021-04-27 23:39:15,3980,84.0,2319.0,16163,1121.0,2021-03-13 01:36:49,0.4,8.0,156.0,26,1,,,219.0,219.0
7,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-04-13 14:21:32,2020-10-15 22:26:07,4309,334.0,823.0,14855,474.0,,,,58.0,16,1,,,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-04-28 14:24:28,2021-04-28 12:17:19,4720,236.0,3421.0,14659,1532.0,2021-04-02 07:41:57,2.11.0,11.0,214.0,25,1,,,40.0,40.0
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.png,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-04-28 14:22:14,2021-04-28 14:22:14,4345,254.0,305.0,14060,399.0,2018-12-03 05:40:38,1.8.1,2.0,89.0,24,2,,,249.0,249.0
10,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.png,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-04-20 16:16:26,2019-11-26 15:56:28,3399,5.0,367.0,13975,734.0,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,,,,
11,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-04-28 10:01:43,2021-04-27 02:31:29,2405,677.0,1125.0,12234,,2021-04-19 06:46:17,2.1.0,3.0,42.0,22,1,,,92.0,92.0
12,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.png,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-02-02 22:30:22,2018-04-16 17:32:11,4472,470.0,612.0,11741,566.0,,,,36.0,18,3,,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2021-04-24 01:05:19,2021-04-21 20:51:16,1217,119.0,183.0,11331,401.0,2021-04-24 01:05:19,1.3.1,12.0,77.0,29,1,260786.0,26078.0,200.0,200.0
