,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-03-20 02:37:00,2020-09-26 15:32:59,11014,591.0,540.0,40127,211.0,2018-04-02 17:18:43,1.2.2,442.0,9.0,2.0,45.0,21,2,,,
1,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-05-28 12:59:50,2021-05-21 20:07:26,6981,301.0,1782.0,40118,5573.0,2019-12-26 15:43:01,4.1.1,,,11.0,182.0,22,1,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-01-27 23:14:12,2021-01-27 23:13:33,2314,127.0,188.0,21245,743.0,2018-11-18 11:21:02,0.13.2,,,3.0,38.0,19,1,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6129,105.0,1558.0,21038,685.0,2020-11-17 05:48:13,1.7.0,173320.0,4030.0,15.0,90.0,21,2,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-04-18 12:48:24,2019-03-31 22:03:47,8707,1586.0,745.0,20053,203.0,2018-03-19 23:26:21,2.1,957466.0,22266.0,3.0,47.0,25,2,135.0,135.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-05-28 06:25:58,2021-05-24 11:27:24,7016,810.0,2371.0,18494,17782.0,2020-09-21 21:03:27,6.0.0,48026.0,1044.0,9.0,346.0,25,1,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-05-29 02:52:52,2021-05-29 02:52:48,4093,80.0,2372.0,16613,1159.0,2021-03-13 01:36:49,0.4,,,8.0,160.0,26,1,244.0,244.0,
7,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-05-19 11:07:16,2020-10-15 22:26:07,4395,341.0,824.0,15116,474.0,,,,,,58.0,16,1,,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-05-31 12:01:19,2021-05-31 09:31:52,4861,261.0,3516.0,15107,1574.0,2021-05-03 05:08:39,2.12.0,,,12.0,222.0,26,1,55.0,55.0,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-05-21 04:34:54,2021-05-11 16:39:28,4425,260.0,307.0,14411,402.0,2018-12-03 05:40:38,1.8.1,,,2.0,90.0,24,2,267.0,267.0,
10,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-04-30 20:32:16,2019-11-26 15:56:28,3406,5.0,368.0,14020,734.0,2016-02-25 17:42:46,0.2.1,,,4.0,30.0,20,2,,,
11,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-05-28 09:32:36,2021-05-28 04:00:28,2521,640.0,1391.0,12641,,2021-05-26 11:43:06,2.1.1,,,4.0,43.0,22,1,156.0,156.0,
12,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-05-21 14:44:56,2018-04-16 17:32:11,4496,469.0,613.0,11816,566.0,,,,,,36.0,18,3,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2021-05-30 16:50:29,2021-05-30 08:52:30,1294,111.0,205.0,11569,407.0,2021-05-30 08:55:25,1.3.2,300900.0,27354.0,13.0,78.0,29,1,267.0,267.0,
14,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2021-03-20 00:08:06,2018-09-30 20:02:46,2093,14.0,16.0,10549,175.0,,,,,,23.0,18,2,,,
15,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2021-05-31 07:18:54,2021-05-28 16:54:50,1517,23.0,293.0,10409,937.0,2021-05-21 23:02:50,0.1-t3p-weights,401369.0,16723.0,24.0,46.0,28,1,605.0,605.0,
16,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-05-14 00:48:13,2021-05-14 00:48:13,2785,37.0,238.0,10404,170.0,2021-02-09 04:34:25,2.0,,,1.0,20.0,16,3,,,
17,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2020-10-09 14:33:04,2020-09-22 04:31:32,2679,2.0,21.0,9936,141.0,,,,,,8.0,13,3,,,
