,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-06-16 13:35:24,2021-06-16 13:35:24,7006,308.0,1790.0,40402,5574.0,2019-12-26 15:43:01,4.1.1,11.0,183.0,22,1,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-06-18 03:05:37,2021-06-14 10:10:40,11073,595.0,542.0,40397,219.0,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,442.0,8.0,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2320,129.0,190.0,21374,746.0,2018-11-18 11:21:02,0.13.2,3.0,39.0,20,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6168,116.0,1559.0,21191,685.0,2020-11-17 05:48:13,1.7.0,15.0,90.0,21,2,175813.0,3995.0,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-06-19 07:30:58,2019-03-31 22:03:47,8760,1605.0,751.0,20146,203.0,2018-03-19 23:26:21,2.1,3.0,47.0,25,2,972623.0,22105.0,136.0,136.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-06-21 08:21:24,2021-06-17 03:19:14,7076,830.0,2380.0,18635,17788.0,2020-09-21 21:03:27,6.0.0,9.0,347.0,25,1,48494.0,1031.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-06-19 01:52:40,2021-06-19 01:52:36,4163,91.0,2392.0,16899,1167.0,2021-03-13 01:36:49,0.4,8.0,163.0,26,1,,,255.0,255.0,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-06-21 11:58:54,2021-06-20 13:16:35,4950,287.0,3593.0,15345,1600.0,2021-06-01 12:11:59,2.13.0,13.0,226.0,26,1,,,63.0,63.0,
8,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-06-01 20:37:51,2020-10-15 22:26:07,4442,343.0,824.0,15251,474.0,,,,58.0,16,1,,,,,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-06-06 14:50:01,2021-06-06 14:50:01,4465,257.0,312.0,14561,403.0,2018-12-03 05:40:38,1.8.1,2.0,90.0,24,2,,,272.0,272.0,
10,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-04-30 20:32:16,2019-11-26 15:56:28,3411,5.0,368.0,14053,734.0,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,,,,,
11,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-06-21 02:36:46,2021-06-15 11:24:19,2600,680.0,1485.0,12945,,2021-05-26 11:43:06,2.1.1,4.0,44.0,22,1,,,187.0,187.0,
12,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-05-21 14:44:56,2018-04-16 17:32:11,4502,471.0,613.0,11858,566.0,,,,36.0,18,3,,,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2021-06-16 22:36:12,2021-06-16 22:36:11,1335,125.0,215.0,11760,416.0,2021-05-30 08:55:25,1.3.2,13.0,80.0,29,1,329916.0,27493.0,308.0,308.0,
14,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2021-06-21 05:12:56,2021-06-21 05:12:56,1602,23.0,305.0,10932,984.0,2021-05-21 23:02:50,0.1-t3p-weights,24.0,49.0,28,1,434149.0,17365.0,690.0,690.0,
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2021-06-08 19:20:47,2018-09-30 20:02:46,2108,14.0,16.0,10655,175.0,,,,23.0,18,2,,,,,
16,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-06-09 09:37:32,2021-06-09 09:37:27,2794,39.0,239.0,10434,173.0,2021-02-09 04:34:25,2.0,1.0,20.0,16,3,,,,,
17,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2020-10-09 14:33:04,2020-09-22 04:31:32,2679,2.0,21.0,9976,141.0,,,,8.0,13,3,,,,,
18,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2021-06-21 10:02:23,2021-06-21 09:32:06,1311,150.0,1117.0,9798,2157.0,2021-06-15 13:19:08,2.3,30.0,138.0,24,1,,,122.0,122.0,
19,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2020-03-05 00:50:05,2020-03-05 00:50:04,1532,48.0,15.0,9733,6.0,,,,3.0,12,3,,,,,
20,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2021-03-03 18:32:43,2021-01-06 16:32:26,2714,76.0,45.0,9563,193.0,,,,10.0,16,2,,,,,
21,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1482,73.0,119.0,8477,130.0,,,,17.0,14,2,,,,,
22,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2084,2.0,19.0,8244,417.0,,,,16.0,15,3,,,,,
23,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2021-01-27 15:20:20,2021-01-06 16:32:52,2855,118.0,94.0,8176,185.0,,,,16.0,16,2,,,,,
24,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2020-01-31 13:18:57,2019-07-03 21:49:56,1106,95.0,62.0,7746,65.0,,,,4.0,12,3,,,,,
25,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2021-06-15 22:12:05,2020-11-15 16:03:45,1132,82.0,248.0,7085,41.0,2020-06-29 16:41:01,0.2,1.0,20.0,15,3,,,,,
26,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2021-06-15 09:21:37,2021-06-15 09:21:36,1411,179.0,107.0,6857,34.0,,,,11.0,14,3,,,,,
27,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2021-06-21 11:06:06,2021-04-21 21:38:33,1766,363.0,2883.0,6097,4761.0,2020-12-23 07:08:35,0.9.11,22.0,122.0,23,2,,,72.0,72.0,
