,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,trending,dependent_project_count,github_dependent_project_count
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-08-07 21:17:31,2021-08-07 21:17:31,7092,323.0,1801.0,41301,5637.0,2019-12-26 15:43:01,4.1.1,11.0,187.0,22,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-07-15 15:29:14,2021-06-14 10:10:40,11210,612.0,545.0,40987,219.0,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,444.0,8.0,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2334,129.0,190.0,21719,746.0,2018-11-18 11:21:02,0.13.2,3.0,39.0,20,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-07-29 05:24:49,2021-04-19 02:53:05,6276,137.0,1562.0,21577,685.0,2020-11-17 05:48:13,1.7.0,15.0,90.0,21,2,181051.0,3935.0,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-08-01 20:12:12,2019-03-31 22:03:47,8925,1640.0,766.0,20384,203.0,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,1003778.0,21821.0,-3.0,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-08-09 05:59:41,2021-08-09 05:59:41,7264,893.0,2405.0,18975,17985.0,2020-09-21 21:03:27,6.0.0,9.0,358.0,25,1,49818.0,1016.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-08-05 23:52:12,2021-08-05 23:52:09,4366,96.0,2466.0,17534,1208.0,2021-07-23 18:55:45,0.5,9.0,171.0,26,1,,,,273.0,273.0
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-08-09 11:42:41,2021-08-09 01:53:41,5141,300.0,3858.0,15971,1684.0,2021-08-03 06:09:14,2.15.0,15.0,240.0,26,1,,,,94.0,94.0
8,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-07-14 19:51:51,2021-07-14 19:51:51,4513,356.0,827.0,15562,475.0,,,,58.0,16,1,,,,,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-08-01 21:55:48,2021-07-25 16:09:01,4556,262.0,315.0,14993,406.0,2018-12-03 05:40:38,1.8.1,2.0,92.0,24,2,,,,303.0,303.0
