,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-12-18 16:02:59,2021-12-18 08:29:20,7314,333.0,1898.0,43208,2021-11-30 17:53:43,5.0.0,19.0,189.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11607,636.0,552.0,42558,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,452.0,8.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-12-14 11:08:21,2021-12-03 04:35:54,6598,168.0,1573.0,22907,2020-11-17 05:48:13,1.7.0,15.0,93.0,21,2,,691.0,197885.0,3957.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2407,129.0,194.0,22747,2018-11-18 11:21:02,0.13.2,3.0,39.0,20,1,1.0,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-12-07 08:18:43,2019-03-31 22:03:47,9222,1688.0,793.0,21050,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1091558.0,21831.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-12-17 07:28:42,2021-12-17 07:28:17,7717,1000.0,2449.0,19817,2020-09-21 21:03:27,6.0.0,9.0,367.0,25,1,,18061.0,52821.0,996.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-12-18 03:47:57,2021-12-18 03:47:54,4919,122.0,2651.0,19270,2021-11-15 22:08:26,0.6,10.0,196.0,23,2,,,,,448.0,448.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-12-20 10:17:18,2021-12-10 11:08:18,3642,922.0,2622.0,18128,2021-05-26 11:43:06,2.1.1,4.0,58.0,22,1,-1.0,,,,469.0,469.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-12-20 08:41:08,2021-12-16 07:47:28,5765,343.0,4560.0,17654,2021-12-15 08:28:12,2.0.0,27.0,286.0,27,1,1.0,1860.0,,,208.0,208.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-12-07 03:33:34,2021-11-17 22:04:32,4786,356.0,866.0,16490,,,,64.0,16,1,,504.0,,,,,
