,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-08-09 12:25:07,2022-08-06 09:23:06,7663,347.0,2038.0,46255,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,202.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-07-28 23:17:04,2022-06-10 09:12:18,12148,660.0,566.0,45485,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-06-20 11:16:19,2022-06-19 20:28:30,7002,168.0,1635.0,24713,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,226817.0,3910.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2566,137.0,201.0,24422,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,752.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-08-15 10:57:46,2022-08-15 06:16:34,4845,1288.0,3759.0,23942,2022-05-09 11:48:13,2.5.0,5.0,764.0,764.0,118.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-08-14 10:07:08,2019-03-31 22:03:47,9641,1772.0,818.0,22055,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1231489.0,21232.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-08-12 01:53:24,2022-08-05 04:48:59,5632,223.0,2858.0,21922,2021-11-15 22:08:26,0.6,10.0,703.0,703.0,212.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-08-10 06:07:14,2022-08-10 06:07:14,8411,955.0,2710.0,21353,2021-12-28 13:36:17,7.0.0,10.0,,,378.0,26,1,18095.0,57981.0,950.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-08-15 12:01:03,2022-07-28 06:57:27,6837,551.0,5621.0,20887,2022-07-28 15:43:37,2.25.1,35.0,525.0,525.0,350.0,27,1,2113.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-08-06 00:29:29,2022-08-06 00:28:56,3268,57.0,504.0,20282,2022-07-27 21:12:16,0.6.7,33.0,4124.0,4124.0,79.0,32,1,1472.0,1598779.0,40994.0,2.0,
