,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,updated_github_id,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-02-26 21:55:55,2023-02-10 11:13:26,7889,372.0,2097.0,49352,2022-12-22 14:16:22,5.3.0,24.0,1.0,1.0,197.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-02-21 07:58:56,2022-06-10 09:12:18,12482,681.0,571.0,47409,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,853.0,12.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-02-27 09:15:55,2023-02-24 09:20:48,5774,1277.0,5275.0,28429,2022-08-24 09:04:27,2.6.0,6.0,1177.0,1177.0,126.0,23,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-02-18 06:11:59,2022-10-23 22:36:13,7215,203.0,1638.0,26105,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,245153.0,3830.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-02-23 01:32:03,2023-02-23 01:32:03,2637,144.0,204.0,25690,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,20,2,756.0,,,,
5,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-02-27 05:52:12,2023-02-27 05:51:48,3843,67.0,600.0,23759,2022-11-23 22:11:26,0.6.12,41.0,8217.0,8217.0,94.0,30,1,,3219105.0,71535.0,huggingface/pytorch-image-models,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-02-24 19:23:39,2023-02-17 07:56:36,6130,270.0,2951.0,23693,2021-11-15 22:08:26,0.6,10.0,912.0,912.0,234.0,23,2,,,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-02-27 11:51:58,2023-02-01 11:29:57,7554,514.0,6199.0,23114,2023-02-01 12:18:43,2.28.1,47.0,985.0,985.0,390.0,28,1,2191.0,,,,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-02-26 13:03:50,2019-03-31 22:03:47,9815,1814.0,831.0,22718,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1322792.0,20668.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-02-15 07:05:25,2023-02-14 02:28:58,8743,439.0,3413.0,22343,2022-12-25 10:21:56,8.0.0,11.0,,,388.0,27,1,18829.0,61218.0,913.0,,
