,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2024-03-03 21:02:55,2024-03-03 21:02:01,8503,393.0,2186.0,56859,2024-01-18 09:12:03,5.3.4,28.0,22.0,22.0,208.0,23,2,4.0,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59,2022-06-10 09:12:18,12990,730.0,584.0,51242,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,23,2,,238.0,1227.0,14.0,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2024-03-01 22:33:55,2024-02-28 07:07:19,6982,1034.0,7517.0,36814,2023-10-18 12:32:48,2.7.1,8.0,2276.0,2276.0,153.0,25,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2024-03-02 02:32:04,2024-03-02 02:16:28,7535,286.0,1656.0,29435,2020-11-17 05:48:13,1.7.0,15.0,,,107.0,21,2,,714.0,283022.0,3675.0,
4,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2024-02-27 08:59:22,2024-02-19 19:32:03,4405,71.0,771.0,28939,2024-02-19 19:35:21,0.9.16,55.0,23856.0,23856.0,129.0,31,1,,,6242590.0,107630.0,huggingface/pytorch-image-models
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2024-02-24 17:18:57,2024-02-08 01:15:03,6848,390.0,3043.0,28189,2021-11-15 22:08:26,0.6,10.0,1632.0,1632.0,265.0,23,2,,,,,
6,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2024-03-04 11:07:56,2024-02-05 13:23:18,8234,1270.0,6641.0,27168,2024-01-05 06:24:15,3.3.0,53.0,2226.0,2226.0,455.0,29,1,3.0,2198.0,,,
7,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-05-04 00:50:48,2023-02-23 01:32:03,2690,149.0,206.0,27059,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,19,2,,756.0,,,
8,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2024-03-01 07:56:41,2024-03-01 07:56:36,9173,698.0,3572.0,24110,2023-12-18 12:36:54,9.0.0,12.0,,,411.0,27,1,,19287.0,63634.0,795.0,
9,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2024-02-19 11:21:31,2019-03-31 22:03:47,10080,1881.0,848.0,23959,2018-03-19 23:26:21,2.1,3.0,21.0,21.0,47.0,24,2,,203.0,1456580.0,18916.0,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-12-04 15:06:06,2023-03-14 20:28:49,5886,508.0,945.0,21593,,,,20.0,20.0,70.0,17,1,,525.0,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2024-02-17 21:47:07,2022-09-22 22:12:32,5879,403.0,364.0,21501,2018-12-03 05:40:38,1.8.1,2.0,1170.0,1170.0,109.0,25,1,,449.0,,,HumanSignal/labelImg
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2024-02-06 12:31:50,2023-09-04 11:42:16,2827,339.0,585.0,21301,2023-09-04 11:53:04,1.7.1,22.0,5364.0,5364.0,128.0,31,1,,615.0,9207967.0,204621.0,
13,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2023-12-23 16:11:47,2023-12-23 16:11:39,2667,113.0,132.0,17236,2023-12-23 16:11:47,1.6.5,100.0,408.0,408.0,20.0,21,2,,,,,
14,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2024-02-22 07:02:09,2021-01-06 16:32:26,3858,106.0,47.0,15411,,,,21.0,21.0,10.0,19,1,,193.0,,,
15,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29,2023-06-14 17:20:41,3498,10.0,370.0,14947,2016-02-25 17:42:46,0.2.1,4.0,70.0,70.0,30.0,22,2,3.0,735.0,,,
16,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2023-10-06 18:30:38,2018-09-30 20:02:46,2488,17.0,17.0,13881,,,,21.0,21.0,23.0,19,1,,175.0,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2023-10-30 04:23:19,2023-10-26 05:31:53,1767,363.0,1677.0,13612,2023-09-14 12:12:06,3.0,40.0,577.0,577.0,192.0,24,1,-1.0,3012.0,,,
18,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21,2018-04-16 17:32:11,4668,501.0,620.0,13413,,,,,,36.0,17,3,-1.0,566.0,,,
19,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2024-01-22 00:19:31,2023-02-07 10:12:31,2176,239.0,286.0,12564,2020-06-29 16:41:01,0.2,1.0,21.0,21.0,26.0,19,3,,42.0,,,
20,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2024-01-26 08:08:55,2023-08-01 09:55:36,2977,48.0,267.0,11959,2021-09-24 16:29:39,3.0,2.0,21.0,21.0,23.0,19,3,,208.0,,,
21,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2024-03-03 02:38:37,2023-12-28 07:35:14,2757,1271.0,3947.0,11853,2023-10-19 03:47:18,2.7.0,9.0,,,159.0,20,2,,,,,
22,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2023-08-14 21:55:50,2023-05-20 22:25:02,2146,234.0,126.0,11352,,,,,,14.0,14,2,,34.0,,,
23,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1654,54.0,15.0,11263,,,,21.0,21.0,3.0,14,3,,6.0,,,
24,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2024-02-12 09:30:31,2021-11-17 07:19:22,2750,4.0,23.0,11191,,,,,,9.0,14,3,,144.0,,,
25,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23,2024-03-04 12:19:29,2024-03-04 11:34:51,3151,1030.0,3848.0,10254,2023-11-11 12:51:52,0.9.15,26.0,649.0,649.0,171.0,25,2,,6029.0,,,
26,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2358,6.0,19.0,10241,,,,20.0,20.0,16.0,16,2,,417.0,,,
27,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1657,88.0,119.0,9864,,,,21.0,21.0,17.0,15,2,,130.0,,,
28,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-12-12 05:55:51,2021-01-06 16:32:52,3071,123.0,101.0,9101,,,,21.0,21.0,16.0,18,2,,185.0,,,
29,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2022-05-17 05:09:30,2019-07-03 21:49:56,1191,101.0,65.0,8472,,,,21.0,21.0,4.0,15,2,,65.0,,,
30,PaddleSeg,PaddlePaddle PaddleSeg.,https://github.com/PaddlePaddle/PaddleSeg,PaddlePaddle/PaddleSeg,./screenshots/PaddleSeg.gif,图像分割,True,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22,2024-03-04 08:37:28,2024-03-04 08:32:55,1604,184.0,1828.0,8080,2023-10-18 03:54:18,2.9.0,19.0,1129.0,1129.0,118.0,23,2,,,,,
31,U-2-Net,xuebinqin-U-2-Net.,https://github.com/xuebinqin/U-2-Net,xuebinqin/U-2-Net,./screenshots/xuebinqin-U-2-Net.png,目标检测,True,https://github.com/xuebinqin/U-2-Net,Apache-2.0,2020-05-04 17:10:28,2024-01-13 04:57:36,2024-01-13 04:57:35,1315,210.0,121.0,7916,,,,21.0,21.0,13.0,18,3,,281.0,,,
32,PaddleGAN,PaddlePaddle PaddleGAN.,https://github.com/PaddlePaddle/PaddleGAN,PaddlePaddle/PaddleGAN,./screenshots/PaddleGAN.png,生成对抗网络GAN,True,https://github.com/PaddlePaddle/PaddleGAN,Apache-2.0,2020-06-18 10:56:01,2024-02-28 11:51:48,2024-02-28 11:51:47,1209,104.0,238.0,7592,2022-01-04 07:14:10,2.1.0,3.0,,,53.0,19,1,,224.0,,,
33,openmmlab-mmsegmentation,openmmlab-mmsegmentation.,https://github.com/open-mmlab/mmsegmentation,open-mmlab/mmsegmentation,./screenshots/open-mmlab-mmsegmentation.png,图像分割,True,https://github.com/open-mmlab/mmsegmentation,Apache-2.0,2020-06-14 04:32:33,2024-02-27 07:17:08,2023-12-14 05:02:10,2086,587.0,1630.0,7135,2023-12-14 05:04:26,1.2.2,45.0,776.0,776.0,165.0,25,1,4.0,581.0,,,
